sector_code,sector_name,direct_demand_shock,total_output_impact,indirect_output_impact,share_of_total_impact
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.0,1400.0706880397997,1400.0706880397997,0.006729353941685254
0192,"Pecuária, inclusive o apoio à pecuária",0.0,103.64834111230265,103.64834111230265,0.0004981793982057741
0280,Produção florestal; pesca e aquicultura,0.0,503.98740312814203,503.98740312814203,0.0024223845601313433
0580,Extração de carvão mineral e de minerais não metálicos,0.0,335.1025367676065,335.1025367676065,0.0016106498021346456
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0.0,10639.489628200012,10639.489628200012,0.0511380547272852
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",0.0,647.2555599652624,647.2555599652624,0.0031109941740356736
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0.0,202.93883931579708,202.93883931579708,0.0009754130915938211
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",0.0,86.61634188695123,86.61634188695123,0.00041631613794256044
1092,Fabricação e refino de açúcar,0.0,857.8278556487297,857.8278556487297,0.004123097005751391
1093,Outros produtos alimentares,0.0,530.998419250183,530.998419250183,0.0025522113534229497
1100,Fabricação de bebidas,0.0,54.12406446900777,54.12406446900777,0.0002601439982180318
1200,Fabricação de produtos do fumo,0.0,0.9195210661910102,0.9195210661910102,4.419621640603336e-06
1300,Fabricação de produtos têxteis,0.0,148.42298596884422,148.42298596884422,0.0007133859841494977
1400,Confecção de artefatos do vestuário e acessórios,0.0,98.44797771739016,98.44797771739016,0.00047318417031571257
1500,Fabricação de calçados e de artefatos de couro,0.0,47.5849845381729,47.5849845381729,0.00022871431135760114
1600,Fabricação de produtos da madeira,0.0,177.43813449475832,177.43813449475832,0.0008528455169926656
1700,"Fabricação de celulose, papel e produtos de papel",6901.14629452671,8155.159879455452,1254.0135849287417,0.03919727607233996
1800,Impressão e reprodução de gravações,0.0,298.81272966454037,298.81272966454037,0.0014362250687564165
1991,Refino de petróleo e coquerias,18458.804819155655,37227.1716260803,18768.366806924645,0.17893011850029927
1992,Fabricação de biocombustíveis,0.0,1591.8306276836943,1591.8306276836943,0.007651036337241045
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",4744.523141212572,8615.785482680665,3871.262341468093,0.04141124479919371
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2059.459364214043,3149.0172291465487,1089.5578649325057,0.015135558286032563
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",0.0,200.24667045595353,200.24667045595353,0.000962473346991329
2100,Fabricação de produtos farmoquímicos e farmacêuticos,0.0,37.80037203649882,37.80037203649882,0.00018168517113741
2200,Fabricação de produtos de borracha e de material plástico,3845.90217425176,5452.428085678706,1606.5259114269465,0.0262067613753759
2300,Fabricação de produtos de minerais não metálicos,0.0,528.2254810451974,528.2254810451974,0.002538883395913965
2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",7332.841220090086,9270.95102242725,1938.109802337165,0.0445602578061889
2492,Metalurgia de metais não ferosos e a fundição de metais,0.0,556.0516224908733,556.0516224908733,0.0026726280391087434
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",4918.715790545586,6206.106522167587,1287.390731622001,0.029829270582000654
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.0,154.98554077527194,154.98554077527194,0.0007449285015605218
2700,Fabricação de máquinas e equipamentos elétricos,0.0,839.188782107038,839.188782107038,0.004033509441295803
2800,Fabricação de máquinas e equipamentos mecânicos,0.0,523.1552427630454,523.1552427630454,0.002514513606402085
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",0.0,92.40954863543686,92.40954863543686,0.0004441608310719485
2992,Fabricação de peças e acessórios para veículos automotores,0.0,727.8992414010637,727.8992414010637,0.0034986030856269954
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",0.0,140.60579159189444,140.60579159189444,0.0006758131185486207
3180,Fabricação de móveis e de produtos de indústrias diversas,0.0,98.20603928807742,98.20603928807742,0.00047202130808536314
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",0.0,1656.2540202476282,1656.2540202476282,0.007960683424627623
3500,"Energia elétrica, gás natural e outras utilidades",14985.980219082297,25128.42337780842,10142.443158726122,0.1207782266640697
3680,"Água, esgoto e gestão de resíduos",0.0,625.9879049615413,625.9879049615413,0.00300877249390746
4180,Construção,0.0,1099.1447582915582,1099.1447582915582,0.005282971906259723
4580,Comércio por atacado e varejo,0.0,8211.775780893517,8211.775780893517,0.03946939693220719
4900,Transporte terrestre,18476.10235005072,25079.131277706743,6603.028927656022,0.12054130720639748
5000,Transporte aquaviário,0.0,643.0120673213951,643.0120673213951,0.003090598086757037
5100,Transporte aéreo,0.0,353.2435743099466,353.2435743099466,0.0016978435870875495
5280,"Armazenamento, atividades auxiliares dos transportes e correio",0.0,2012.3635158174545,2012.3635158174545,0.009672301886577906
5500,Alojamento,0.0,134.07536309049655,134.07536309049655,0.0006444250142534707
5600,Alimentação,0.0,222.26902887672136,222.26902887672136,0.0010683224628323905
5800,Edição e edição integrada à impressão,0.0,113.21858696215033,113.21858696215033,0.0005441781982540319
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",0.0,1471.6999713736857,1471.6999713736857,0.007073635701356857
6100,Telecomunicações,17534.994154378754,21055.681700514593,3520.6875461358395,0.10120284343971644
