sector_code,sector_name,direct_demand_shock,total_output_impact,indirect_output_impact,share_of_total_impact
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",10810.832062581401,14769.226992713935,3958.394930132534,0.09912468389424067
0192,"Pecuária, inclusive o apoio à pecuária",567.3503662689345,2756.570958913128,2189.2205926441934,0.01850091579397531
0280,Produção florestal; pesca e aquicultura,220.37870590054405,666.2606158476998,445.88190994715575,0.004471653998524508
0580,Extração de carvão mineral e de minerais não metálicos,184.21079772122644,485.95996872198924,301.7491710007628,0.0032615537907695617
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",3867.587346010183,6287.176002758551,2419.5886567483676,0.04219681464496048
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",4333.205904718571,4748.954312127559,415.748407408988,0.03187293385429473
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",823.6283927846955,1204.482765655575,380.8543728708794,0.008083969016155684
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",5216.2935572445485,5990.353724158301,774.0601669137523,0.04020467148448682
1092,Fabricação e refino de açúcar,2111.2876143578615,2473.2152085384305,361.92759418056903,0.016599154164922983
1093,Outros produtos alimentares,3912.6571963403967,5477.299374942426,1564.6421786020292,0.03676127189345353
1100,Fabricação de bebidas,361.44129736749517,540.5499274800975,179.10863011260233,0.0036279380577570364
1200,Fabricação de produtos do fumo,720.920173765314,758.3954309506302,37.475257185316195,0.005090023154015026
1300,Fabricação de produtos têxteis,265.16865532336385,667.0901891629154,401.92153383955156,0.004477221736949709
1400,Confecção de artefatos do vestuário e acessórios,188.24126559240213,260.2697589736427,72.02849338124057,0.001746818408182092
1500,Fabricação de calçados e de artefatos de couro,1118.3095863775034,1307.5713499073972,189.26176352989387,0.008775855147508923
1600,Fabricação de produtos da madeira,723.5358800998727,1015.5339095781703,291.99802947829767,0.00681582575855047
1700,"Fabricação de celulose, papel e produtos de papel",2594.7762138174494,3563.6242163529323,968.8480025354829,0.02391750930079889
1800,Impressão e reprodução de gravações,20.22177890979152,215.10944246956285,194.88766355977134,0.0014437218344589612
1991,Refino de petróleo e coquerias,1470.4269116957691,7306.931726936802,5836.504815241033,0.04904097540289173
1992,Fabricação de biocombustíveis,640.935146429308,1053.8263436187688,412.89119718946074,0.0070728280662330535
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1881.4670517150935,6173.270803223681,4291.803751508587,0.04143233205535884
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",698.33696897506,2499.2986664248992,1800.9616974498392,0.016774215088500126
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",423.67608973196093,606.7246703801974,183.04858064823645,0.004072074401181852
2100,Fabricação de produtos farmoquímicos e farmacêuticos,409.02735579592644,537.151047124076,128.1236913281495,0.003605126238218262
2200,Fabricação de produtos de borracha e de material plástico,926.6796667019413,2370.114140699159,1443.434473997218,0.015907184249113023
2300,Fabricação de produtos de minerais não metálicos,775.454025887041,1366.7587947913698,591.3047689043289,0.00917309575918927
2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",3731.0698768263146,5160.308888378622,1429.2390115523076,0.03463376841655391
2492,Metalurgia de metais não ferosos e a fundição de metais,2442.808542438592,3424.985907677299,982.1773652387069,0.022987028746204948
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",757.1887763263843,1926.2708878173223,1169.0821114909381,0.012928299696644033
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",488.92019553157184,678.8763644430846,189.9561689115128,0.004556325463877682
2700,Fabricação de máquinas e equipamentos elétricos,917.3594373076271,1379.3824703929142,462.0230330852871,0.009257820427190096
2800,Fabricação de máquinas e equipamentos mecânicos,2321.8132720022695,3164.0930559499247,842.2797839476552,0.02123602840810324
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2539.998497243439,2689.19668329996,149.19818605652108,0.018048728704153118
2992,Fabricação de peças e acessórios para veículos automotores,1552.8223877215287,2497.3993711711687,944.57698344964,0.01676146783762906
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",2271.8996007100413,2682.941380082283,411.04177937224176,0.018006745805899827
3180,Fabricação de móveis e de produtos de indústrias diversas,512.074774231163,642.3886277410456,130.31385350988262,0.004311435506644972
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",257.8798321653782,1556.6918846346298,1298.8120524692515,0.010447844769483274
3500,"Energia elétrica, gás natural e outras utilidades",10.264181998385716,3059.0805008417165,3048.816318843331,0.020531229413872674
3680,"Água, esgoto e gestão de resíduos",2.033549030303738,537.1814080029867,535.1478589726829,0.003605330007347565
4180,Construção,466.8724917649686,1112.8769333583411,646.0044415933726,0.0074691501651886205
4580,Comércio por atacado e varejo,2296.5503803361635,10425.24636237141,8128.695982035247,0.06996975878964097
4900,Transporte terrestre,271.0911836787098,5096.229601551675,4825.138417872965,0.03420369587084634
5000,Transporte aquaviário,561.8141104659053,970.2301962584457,408.41608579254046,0.006511766767225576
5100,Transporte aéreo,600.2628210139403,848.7984942716782,248.53567325773793,0.005696769538181964
5280,"Armazenamento, atividades auxiliares dos transportes e correio",900.8877386690189,2672.3334643240023,1771.4457256549836,0.01793555004888187
5500,Alojamento,639.133987130037,749.4603337251955,110.3263465951585,0.005030054633761905
5600,Alimentação,482.30340901009725,659.3135656616031,177.01015665150584,0.004425028392862547
5800,Edição e edição integrada à impressão,101.5181403732386,171.75348463632622,70.23534426308763,0.0011527353381940073
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",47.265356975210864,590.7740439945434,543.5086870193325,0.003965020673916837
6100,Telecomunicações,136.2359602072953,842.7302145981193,706.494254390824,0.005656041861322497
6280,Desenvolvimento de sistemas e outros serviços de informação,383.5506698132568,969.3958790189613,585.8452092057046,0.006506167189626003
6480,"Intermediação financeira, seguros e previdência complementar",1406.0940349368097,4953.665008275833,3547.5709733390236,0.03324686378681443
6800,Atividades imobiliárias,414.8999072087334,1160.7113132921966,745.8114060834632,0.007790193899742877
6980,"Atividades jurídicas, contábeis, consultoria e sedes de empresas",1373.0243686309368,4363.531763631235,2990.507395000298,0.02928614388185688
7180,"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",1521.445850290273,2400.604089425395,879.1582391351221,0.01611181963936945
7380,"Outras atividades profissionais, científicas e técnicas",237.66428276854728,1332.6507770699284,1094.986494301381,0.008944177449749992
7700,Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,376.3201416112897,1033.5100324456207,657.189890834331,0.00693647374491828
7880,Outras atividades administrativas e serviços complementares,996.9260247087207,2379.973688149259,1383.0476634405384,0.01597335728070185
8000,"Atividades de vigilância, segurança e investigação",0.26668181716023104,399.93783501796844,399.6711532008082,0.002684210317375475
8400,"Administração pública, defesa e seguridade social",204.53039719068286,585.2654862250364,380.73508903435356,0.0039280496091559725
8591,Educação pública,5.285862388554784,42.2447997581232,36.95893736956842,0.0002835288823352276
8592,Educação privada,8.2922588088681,187.70498563250308,179.41272682363498,0.0012597949354677671
8691,Saúde pública,0.25729153803980676,3.112966745595292,2.855675207555485,2.0892890655864618e-05
8692,Saúde privada,24.051240422910865,30.00701796907884,5.955777546167976,0.00020139416722764916
9080,"Atividades artísticas, criativas e de espetáculos",171.84174300193393,246.0036009236285,74.16185792169458,0.0016510701061355083
9480,Organizações associativas e outros serviços pessoais,2.6307295920371407,267.87622677124773,265.2454971792106,0.0017978697405477795
9700,Serviços domésticos,0.0,0.0,0.0,0.0
