sector_code,sector_name,direct_demand_shock,total_output_impact,indirect_output_impact,share_of_total_impact
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.0,2897.6536814024585,2897.6536814024585,0.006729353941685253
0192,"Pecuária, inclusive o apoio à pecuária",0.0,214.51559536312777,214.51559536312777,0.0004981793982057741
0280,Produção florestal; pesca e aquicultura,0.0,1043.0765864396212,1043.0765864396212,0.0024223845601313437
0580,Extração de carvão mineral e de minerais não metálicos,0.0,693.5443385872491,693.5443385872491,0.0016106498021346452
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0.0,22019.99981340989,22019.99981340989,0.051138054727285207
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",0.0,1339.5912593294977,1339.5912593294977,0.0031109941740356728
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0.0,420.0119892991039,420.0119892991039,0.0009754130915938211
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",0.0,179.26535001581541,179.26535001581541,0.00041631613794256044
1092,Fabricação e refino de açúcar,0.0,1775.401817325568,1775.401817325568,0.004123097005751391
1093,Outros produtos alimentares,0.0,1098.9798854466408,1098.9798854466408,0.0025522113534229493
1100,Fabricação de bebidas,0.0,112.01776881755993,112.01776881755993,0.00026014399821803173
1200,Fabricação de produtos do fumo,0.0,1.9030850551595522,1.9030850551595522,4.419621640603336e-06
1300,Fabricação de produtos têxteis,0.0,307.18335536294086,307.18335536294086,0.0007133859841494977
1400,Confecção de artefatos do vestuário e acessórios,0.0,203.75267298740388,203.75267298740388,0.0004731841703157127
1500,Fabricação de calçados e de artefatos de couro,0.0,98.48417426663255,98.48417426663255,0.00022871431135760117
1600,Fabricação de produtos da madeira,0.0,367.2345032519566,367.2345032519566,0.0008528455169926654
1700,"Fabricação de celulose, papel e produtos de papel",14282.944523486662,16878.311394558652,2595.3668710719903,0.039197276072339964
1800,Impressão e reprodução de gravações,0.0,618.4372071774703,618.4372071774703,0.0014362250687564165
1991,Refino de petróleo e coquerias,38203.230876436544,77047.14614198558,38843.91526554903,0.1789301185002993
1992,Fabricação de biocombustíveis,0.0,3294.529281899888,3294.529281899888,0.007651036337241045
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",9819.493447064406,17831.644312914716,8012.15086585031,0.04141124479919371
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",4262.356222005234,6517.357619715324,2255.0013977100907,0.01513555828603256
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",0.0,414.4401470526209,414.4401470526209,0.0009624733469913289
2100,Fabricação de produtos farmoquímicos e farmacêuticos,0.0,78.23346929953702,78.23346929953702,0.00018168517113740997
2200,Fabricação de produtos de borracha e de material plástico,7959.66424319394,11284.60759161322,3324.9433484192796,0.026206761375375906
2300,Fabricação de produtos de minerais não metálicos,0.0,1093.2408790760214,1093.2408790760214,0.002538883395913965
2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",15176.401118919588,19187.606447107155,4011.205328187567,0.0445602578061889
2492,Metalurgia de metais não ferosos e a fundição de metais,0.0,1150.8312006848375,1150.8312006848375,0.0026726280391087434
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",10180.010938020338,12844.456758331555,2664.445820311217,0.02982927058200065
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.0,320.76553464624146,320.76553464624146,0.0007449285015605217
2700,Fabricação de máquinas e equipamentos elétricos,0.0,1736.8254936246328,1736.8254936246328,0.004033509441295803
2800,Fabricação de máquinas e equipamentos mecânicos,0.0,1082.7472698965914,1082.7472698965914,0.002514513606402085
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",0.0,191.25524952965895,191.25524952965895,0.00044416083107194854
2992,Fabricação de peças e acessórios para veículos automotores,0.0,1506.4953038113251,1506.4953038113251,0.0034986030856269954
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",0.0,291.00451363865557,291.00451363865557,0.0006758131185486207
3180,Fabricação de móveis e de produtos de indústrias diversas,0.0,203.25194556959585,203.25194556959585,0.0004720213080853631
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",0.0,3427.8630358496116,3427.8630358496116,0.007960683424627623
3500,"Energia elétrica, gás natural e outras utilidades",31015.70593699468,52006.994454323096,20991.288517328416,0.12077822666406973
3680,"Água, esgoto e gestão de resíduos",0.0,1295.574696921059,1295.574696921059,0.0030087724939074595
4180,Construção,0.0,2274.8428936233904,2274.8428936233904,0.005282971906259723
4580,Comércio por atacado e varejo,0.0,16995.486389099544,16995.486389099544,0.0394693969322072
